144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,43.627499,-79.396202
145,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,69.4332962036,-133.0260009766
146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.4706001282,-73.7407989502
147,Repulse Bay Airport,Repulse Bay,Canada,YUT,66.5214004517,-86.2247009277
148,Hall Beach Airport,Hall Beach,Canada,YUX,68.7761001587,-81.2425
149,Rouyn Noranda Airport,Rouyn,Canada,YUY,48.2061004639,-78.8356018066
150,La Ronge Airport,La Ronge,Canada,YVC,55.1514015198,-105.262001038
151,Vermilion Airport,Vermillion,Canada,YVG,53.3558006287,-110.823997498
152,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,67.5457992554,-64.0314025879
153,Val-d'Or Airport,Val D'or,Canada,YVO,48.0532989502,-77.7827987671
154,Kuujjuaq Airport,Quujjuaq,Canada,YVP,58.0960998535,-68.426902771
155,Norman Wells Airport,Norman Wells,Canada,YVQ,65.2816009521,-126.797996521
156,Vancouver International Airport,Vancouver,Canada,YVR,49.193901062,-123.183998108
157,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,55.8418998718,-108.417999268
158,Wiarton Airport,Wiarton,Canada,YVV,44.7458,-81.107201
159,Petawawa Airport,Petawawa,Canada,YWA,45.9522018433,-77.3191986084
160,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.9099998474,-97.2398986816
161,Wabush Airport,Wabush,Canada,YWK,52.9219017029,-66.864402771
162,Williams Lake Airport,Williams Lake,Canada,YWL,52.1831016541,-122.054000854
163,Wrigley Airport,Wrigley,Canada,YWY,63.209400177,-123.43699646
164,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,49.6108016968,-115.7819976807
165,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,53.5724983215,-113.521003723
166,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,52.1707992554,-106.6999969482
167,Medicine Hat Airport,Medicine Hat,Canada,YXH,50.018901825,-110.7210006714
168,Fort St John Airport,Fort Saint John,Canada,YXJ,56.2380981445,-120.7399978638
169,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,50.113899231,-91.9052963257
170,Pangnirtung Airport,Pangnirtung,Canada,YXP,66.1449966431,-65.7136001587
171,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,47.6974006546,-79.8473453522
172,Prince George Airport,Prince George,Canada,YXS,53.8894004822,-122.679000854
173,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,54.468498,-128.576009
174,London Airport,London,Canada,YXU,43.035599,-81.1539
175,Abbotsford Airport,Abbotsford,Canada,YXX,49.0252990723,-122.361000061
176,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,60.7095985413,-135.067001343
177,North Bay Airport,North Bay,Canada,YYB,46.3636016846,-79.4227981567
178,Calgary International Airport,Calgary,Canada,YYC,51.113899231,-114.019996643
179,Smithers Airport,Smithers,Canada,YYD,54.8246994019,-127.1829986572
180,Fort Nelson Airport,Fort Nelson,Canada,YYE,58.8363990784,-122.597000122
181,Penticton Airport,Penticton,Canada,YYF,49.4631004333,-119.6019973755
182,Charlottetown Airport,Charlottetown,Canada,YYG,46.2900009155,-63.1211013794
183,Taloyoak Airport,Spence Bay,Canada,YYH,69.5466995239,-93.5766983032
184,Victoria International Airport,Victoria,Canada,YYJ,48.646900177,-123.426002502
185,Lynn Lake Airport,Lynn Lake,Canada,YYL,56.863899231,-101.0759963989
186,Swift Current Airport,Swift Current,Canada,YYN,50.2919006348,-107.691001892
187,Churchill Airport,Churchill,Canada,YYQ,58.739200592,-94.0650024414
188,Goose Bay Airport,Goose Bay,Canada,YYR,53.3191986084,-60.4258003235
189,St. John's International Airport,St. John's,Canada,YYT,47.618598938,-52.7518997192
190,Kapuskasing Airport,Kapuskasing,Canada,YYU,49.413898468,-82.4674987793
191,Armstrong Airport,Armstrong,Canada,YYW,50.2902984619,-88.9096984863
192,Mont Joli Airport,Mont Joli,Canada,YYY,48.6086006165,-68.2080993652
193,Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.6772003174,-79.6305999756
194,Downsview Airport,Toronto,Canada,YZD,43.7425003052,-79.4655990601
195,Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,45.8852996826,-82.5678024292
196,Yellowknife Airport,Yellowknife,Canada,YZF,62.4627990723,-114.4400024414
197,Slave Lake Airport,Slave Lake,Canada,YZH,55.2930984497,-114.777000427
198,Sandspit Airport,Sandspit,Canada,YZP,53.2542991638,-131.813995361
199,Chris Hadfield Airport,Sarnia,Canada,YZR,42.9994010925,-82.3088989258
200,Port Hardy Airport,Port Hardy,Canada,YZT,50.6805992126,-127.3669967651
201,Whitecourt Airport,Whitecourt,Canada,YZU,54.143901825,-115.7870025635
202,Sept-Îles Airport,Sept-iles,Canada,YZV,50.2233009338,-66.2656021118
203,Teslin Airport,Teslin,Canada,YZW,60.1727981567,-132.7429962158
204,CFB Greenwood,Greenwood,Canada,YZX,44.9844017029,-64.9169006348
205,Faro Airport,Faro,Canada,ZFA,62.2075004578,-133.3760070801
206,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,67.4075012207,-134.8609924316
207,Blida Airport,Blida,Algeria,\N,36.5036010742,2.8141698837
208,Bou Saada Airport,Bou Saada,Algeria,\N,35.3325004578,4.206389904
209,Soummam Airport,Bejaja,Algeria,BJA,36.7120018005,5.069920063
210,Houari Boumediene Airport,Algier,Algeria,ALG,36.6910018921,3.2154099941
211,Djanet Inedbirene Airport,Djanet,Algeria,DJG,24.2928009033,9.4524402618
212,Boufarik Airport,Boufarik,Algeria,QFD,36.545799,2.87611
213,Reggane Airport,Reggan,Algeria,\N,26.710100174,0.2856470048
214,Illizi Takhamalt Airport,Illizi,Algeria,VVZ,26.7234992981,8.6226501465
215,Ain Oussera Airport,Ain Oussera,Algeria,\N,35.5253982544,2.8787100315
216,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,22.8115005493,5.4510798454
217,Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,36.7951011658,5.8736100197
218,Mecheria Airport,Mecheria,Algeria,\N,33.535900116,-0.2423530072
219,Relizane Airport,Relizane,Algeria,\N,35.7522010803,0.6262720227
220,Annaba Airport,Annaba,Algeria,AAE,36.8222007751,7.8091697693
221,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,36.2760009766,6.6203899384
222,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,35.4315986633,8.1207199097
224,Hassi R'Mel Airport,Tilrempt,Algeria,HRM,32.9304008484,3.3115398884
225,Bou Chekif Airport,Tiaret,Algeria,TID,35.3410987854,1.4631500244
226,Bou Sfer Airport,Bou Sfer,Algeria,\N,35.7354011536,-0.8053889871
227,Tindouf Airport,Tindouf,Algeria,TIN,27.7003993988,-8.1670999527
228,Ech Cheliff Airport,Ech-cheliff,Algeria,QAS,36.2126998901,1.3317699432
229,Tafaraoui Airport,Oran,Algeria,TAF,35.5424003601,-0.5322780013
230,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,35.0167007446,-1.4500000477
231,Es Senia Airport,Oran,Algeria,ORN,35.6239013672,-0.6211829782
232,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,\N,35.1717987061,-0.5932750106
233,Ghriss Airport,Ghriss,Algeria,MUW,35.207698822,0.147141993
234,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,27.837600708,-0.1864140034
235,Biskra Airport,Biskra,Algeria,BSK,34.7933006287,5.7382302284
236,El Golea Airport,El Golea,Algeria,ELG,30.5713005066,2.8595900536
237,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,32.3841018677,3.7941100597
238,Oued Irara Airport,Hassi Messaoud,Algeria,HME,31.6730003357,6.1404399872
239,In Salah Airport,In Salah,Algeria,INZ,27.2509994507,2.5120201111
240,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,33.0677986145,6.0886697769
241,Laghouat Airport,Laghouat,Algeria,LOO,33.7644004822,2.9283399582
242,Timimoun Airport,Timimoun,Algeria,TMX,29.2371006012,0.2760330141
243,Ain el Beida Airport,Ouargla,Algeria,OGX,31.9172000885,5.412779808
244,In Aménas Airport,Zarzaitine,Algeria,IAM,28.0515003204,9.6429100037
245,Cadjehoun Airport,Cotonou,Benin,COO,6.3572301865,2.3843500614
246,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,12.3531999588,-1.5124200583
247,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,11.1600999832,-4.3309698105
248,Kotoka International Airport,Accra,Ghana,ACC,5.6051898003,-0.1667860001
249,Tamale Airport,Tamale,Ghana,TML,9.5571899414,-0.863214016
250,Wa Airport,Wa,Ghana,\N,10.0826997757,-2.5076899529
251,Sunyani Airport,Sunyani,Ghana,NYI,7.3618302345,-2.3287599087
252,Takoradi Airport,Takoradi,Ghana,TKD,4.8960599899,-1.7747600079
253,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,5.2613902092,-3.9262900352
254,Bouaké Airport,Bouake,Cote d'Ivoire,BYK,7.7388000488,-5.0736699104
255,Daloa Airport,Daloa,Cote d'Ivoire,DJO,6.7928099632,-6.4731898308
256,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,9.3871803284,-5.5566601753
257,Man Airport,Man,Cote d'Ivoire,MJC,7.272069931,-7.5873599052
258,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,4.7467198372,-6.6608200073
259,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,6.9031701088,-5.3655800819
260,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,9.0067901611,7.2631697655
261,Akure Airport,Akure,Nigeria,AKR,7.2467398643,5.3010101318
262,Benin Airport,Benin,Nigeria,BNI,6.3169798851,5.5995001793
263,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,4.9760198593,8.3472003937
264,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,6.4742698669,7.5619602203
265,Gusau Airport,Gusau,Nigeria,QUS,12.1716995239,6.6961097717
266,Ibadan Airport,Ibadan,Nigeria,IBA,7.3624601364,3.9783298969
267,Ilorin International Airport,Ilorin,Nigeria,ILR,8.4402103424,4.4939198494
268,Yakubu Gowon Airport,Jos,Nigeria,JOS,9.6398296356,8.8690500259
269,Kaduna Airport,Kaduna,Nigeria,KAD,10.6960000992,7.3201098442
270,Mallam Aminu International Airport,Kano,Nigeria,KAN,12.0475997925,8.5246200562
271,Maiduguri International Airport,Maiduguri,Nigeria,MIU,11.8552999496,13.0809001923
272,Makurdi Airport,Makurdi,Nigeria,MDI,7.7038798332,8.613940239
273,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.5773701668,3.321160078
274,Minna Airport,Minna,Nigeria,MXJ,9.6521701813,6.4622597694
275,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,5.0154900551,6.9495902061
276,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,12.9162998199,5.2071900368
277,Yola Airport,Yola,Nigeria,YOL,9.2575502396,12.4303998947
278,Zaria Airport,Zaria,Nigeria,ZAR,11.130200386,7.6858100891
279,Maradi Airport,Maradi,Niger,MFQ,13.5024995804,7.1267499924
280,Diori Hamani International Airport,Niamey,Niger,NIM,13.4814996719,2.1836099625
281,Tahoua Airport,Tahoua,Niger,THZ,14.8756999969,5.2653598785
282,Mano Dayak International Airport,Agadez,Niger,AJY,16.9659996033,8.0001096725
283,Dirkou Airport,Dirkou,Niger,\N,18.9687004089,12.8687000275
284,Diffa Airport,Diffa,Niger,\N,13.3729000092,12.6267004013
285,Zinder Airport,Zinder,Niger,ZND,13.7790002823,8.9837598801
286,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,35.7580986023,10.754699707
287,Tunis Carthage International Airport,Tunis,Tunisia,TUN,36.8510017395,10.2271995544
288,Sidi Ahmed Air Base,Bizerte,Tunisia,\N,37.2453994751,9.7914495468
289,Remada Air Base,Remada,Tunisia,\N,32.3061981201,10.3821001053
290,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,34.422000885,8.8225002289
291,Gabès Matmata International Airport,Gabes,Tunisia,GAE,33.8768997192,10.1033000946
292,Borj El Amri Airport,Bordj El Amri,Tunisia,\N,36.7212982178,9.9431495667
293,Djerba Zarzis International Airport,Djerba,Tunisia,DJE,33.875,10.7755002975
294,El Borma Airport,El Borma,Tunisia,EBM,31.7042999268,9.2546195984
295,Sfax Thyna International Airport,Sfax,Tunisia,SFA,34.7179985046,10.6909999847
296,Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,33.9397010803,8.1105604172
297,Niamtougou International Airport,Niatougou,Togo,LRL,9.7673301697,1.0912499428
298,Lomé-Tokoin Airport,Lome,Togo,LFW,6.1656098366,1.2545100451
299,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.1893997192,4.4602799416
300,Beauvechain Air Base,Beauvechain,Belgium,\N,50.7585983276,4.7683300972
301,Kleine Brogel Air Base,Kleine Brogel,Belgium,\N,51.168301,5.47
302,Brussels Airport,Brussels,Belgium,BRU,50.9014015198,4.4844398499
303,Jehonville Air Base,Bertrix,Belgium,\N,49.8917007446,5.2238898277
304,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.4592018127,4.4538202286
305,Chièvres Air Base,Chievres,Belgium,\N,50.5758018494,3.8310000896
306,Koksijde Air Base,Koksijde,Belgium,\N,51.0903015137,2.652780056
307,Florennes Air Base,Florennes,Belgium,\N,50.2433013916,4.6458301544
308,Wevelgem Airport,Kortrijk-vevelgem,Belgium,QKT,50.817199707,3.2047200203
309,Liège Airport,Liege,Belgium,LGG,50.6374015808,5.4432201385
310,Ostend-Bruges International Airport,Ostend,Belgium,OST,51.1988983154,2.8622200489
311,Zutendaal Air Base,Zutendaal,Belgium,\N,50.9474983215,5.5905599594
312,Limburg Regional Airport,Sint-truiden,Belgium,\N,50.7919006348,5.2016701698
313,Saint Hubert Air Base,St.-hubert,Belgium,\N,50.0344009399,5.4408102036
314,Ursel Air Base,Ursel,Belgium,\N,51.1441993713,3.4755599499
315,Weelde Air Base,Weelde,Belgium,\N,51.3947982788,4.9601898193
316,Oostmalle Air Base,Zoersel,Belgium,\N,51.264702,4.75333
317,Bautzen Airport,Bautzen,Germany,\N,51.193611145,14.5197219849
318,Altenburg-Nobitz Airport,Altenburg,Germany,AOC,50.9819450378,12.5063886642
319,Dessau Airport,Dessau,Germany,\N,51.831693541,12.1909618378
320,Eisenhüttenstadt Airport,Eisenhuettenstadt,Germany,\N,52.195856,14.58753
322,Großenhain Airport,Suhl,Germany,\N,51.3080558777,13.5555562973
323,Merseburg Airport,Muehlhausen,Germany,\N,51.3630556,11.9408333
324,Halle-Oppin Airport,Halle,Germany,\N,51.552223,12.053889
325,Riesa-Göhlis Airport,Riesa,Germany,\N,51.2936096191,13.3561105728
326,Rechlin-Lärz Airport,Rechlin-laerz,Germany,\N,53.306388855,12.7522220612
327,Strausberg Airport,Strausberg,Germany,\N,52.5805549622,13.9166669846
328,Schönhagen Airport,Schoenhagen,Germany,\N,52.2036094666,13.1563892365
329,Barth Airport,Barth,Germany,BBH,54.338253,12.710515
330,Jena-Schöngleina Airport,Jena,Germany,\N,50.9152793884,11.7144441605
331,Kyritz Airport,Kyritz,Germany,\N,52.918888092,12.42527771
332,"Magdeburg \""City\"" Airport",Magdeburg,Germany,\N,52.073612,11.626389
333,Rothenburg/Görlitz Airport,Rothenburg/ol,Germany,\N,51.3633346558,14.9499998093
334,Anklam Airport,Anklam,Germany,\N,53.8327789307,13.6686105728
